from,to,weight,type,gene
b2022,b2500,1.000,obo1,b2022
b2020,b2500,1.000,obo1,b2020
b0750,b2500,1.000,obo1,b0750
b1200,b3654,1.000,obo1,b1200
b1205,b3981,1.000,obo1,b1205
b3981,b4096,0.500,obo2,b1205
b1198,b2500,1.000,obo1,b1198
b1926,b2557,1.000,obo1,b1926
b3001,b3342,1.000,obo1,b3001
b3006,b3987,1.000,obo1,b3006
b3987,b2259,0.500,obo2,b3006
b1922,b0440,1.000,obo1,b1922
b0440,b0726,0.667,obo2,b1922
b0726,b3990,0.333,obo1,b1922
b1921,b0440,1.000,obo1,b1921
b0440,b0726,0.667,obo2,b1921
b0726,b3990,0.333,obo1,b1921
b3005,b3987,1.000,obo1,b3005
b3987,b2259,0.500,obo2,b3005
b1105,b2500,1.000,obo1,b1105
b1849,b3993,1.000,obo1,b1849
b2422,b2557,1.000,obo1,b2422
b3183,b2557,1.000,obo1,b3183
b3228,b2500,1.000,obo1,b3228
b3229,b3654,1.000,obo1,b3229
b3186,b3993,1.000,obo1,b3186
b3185,b3993,1.000,obo1,b3185
b3637,b3993,1.000,obo1,b3637
b1682,b3981,1.000,obo1,b1682
b3981,b4096,0.500,obo2,b1682
b1683,b3981,1.000,obo1,b1683
b3981,b4096,0.500,obo2,b1683
b1680,b3981,1.000,obo1,b1680
b3981,b4096,0.500,obo2,b1680
b1681,b3981,1.000,obo1,b1681
b3981,b4096,0.500,obo2,b1681
